CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000,MSI Z170A GAMING M9 ACK ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[396.98, 399.99]",Yes,Yes
FM2+,AMD A68H,No,Micro ATX,Asus,32GB,DDR3-1333 / 1600 / 1866 / 2133 / 2400,Asus A68HM-K Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[47.88, 47.99, 49.99, 49.99]",Yes,No
LGA1151,Intel Z170,Yes,EATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3800,Asus MAXIMUS VIII EXTREME EATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,"[449.99, 547.46]",Yes,Yes
LGA1155,Intel P67,Yes,ATX,Intel,32GB,DDR3-1066 / 1333 / 1600,Intel DP67BGB3 ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,No,[106.13],Yes,Yes
2 x LGA2011-3,Intel C612,No,ATX,Supermicro,512GB,DDR4-1600 / 1866 / 2133,Supermicro MBD-X10DAL-I-O ATX Dual-CPU LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[299.99, 308.53, 329.99]",Yes,No
FM2+,AMD A88X,Yes,ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2600,ASRock FM2A88X Extreme4+ ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[74.99, 85.99]",Yes,No
LGA1150,Intel H97,No,Micro ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock H97M Anniversary Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[62.88, 62.99, 89.72, 97.89]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,Gigabyte,128GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3333 / 3400 / 3600,Gigabyte GA-X99-Designare EX ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[418.95, 418.99, 418.95, 454.48]",Yes,4-way SLI
LGA1151,Intel H170,Yes,Micro ATX,Asus,64GB,DDR3-1333 / 1600 / 1866,Asus H170M-E D3 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[89.99, 104.0, 199.89]",Yes,No
LGA1150,Intel H81,No,Micro ATX,MSI,16GB,DDR3-1066 / 1333 / 1600,MSI H81M-E33 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[44.89, 44.89, 44.99, 44.99, 48.99, 61.99]",No,No
LGA1151,Intel B250,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus STRIX B250F GAMING ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[129.99, 129.99, 129.99, 140.59]",No,No
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200,MSI Z170A XPOWER GAMING TITANIUM EDITION ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[249.99, 288.99, 299.99, 314.99]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3200,Gigabyte GA-Z170X-UD5 ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.99, 159.99, 171.18, 175.49, 177.99, 179.89]",Yes,Yes
LGA1151,Intel Z170,Yes,Micro ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400,Asus Z170M-PLUS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[119.99, 125.88, 125.99, 125.99, 125.99, 139.99]",Yes,No
LGA1151,Intel H270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400,MSI H270 TOMAHAWK ARCTIC ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[124.99, 124.99, 124.99, 124.99]",Yes,No
LGA1151,Intel B150,No,Mini ITX,Gigabyte,32GB,DDR4-2133,Gigabyte GA-B150N Phoenix-WIFI Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[97.74, 99.99]",No,No
LGA2011-3,Intel X99,Yes,Micro ATX,EVGA,64GB,DDR4-2133 / 2400 / 2800 / 3200,EVGA Micro 2 Micro ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[182.99, 182.99, 195.79, 197.38, 199.99]",Yes,3-way SLI
LGA1150,Intel H81,No,Micro ATX,MSI,16GB,DDR3-1066 / 1333 / 1600,MSI H81M-E34 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[50.88, 50.99, 50.99, 50.99]",No,No
LGA1151,Intel B150,Yes,ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-B150-HD3P ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[99.89, 97.99, 107.28, 107.94]",No,No
LGA1151,Intel H110,No,Micro ATX,Gigabyte,32GB,DDR4-2133,Gigabyte GA-H110M-S2H GSM Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[62.88, 62.99, 77.42, 94.98]",No,No
LGA1151,Intel Z170,Yes,EATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3200,Gigabyte GA-Z170X-Gaming G1 EATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[499.99, 529.99]",Yes,4-way SLI
LGA2011-3,Intel X99,Yes,ATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000,MSI X99A GAMING 7 ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[240.99, 245.98, 259.99, 259.99, 259.99, 259.99]",Yes,3-way SLI
LGA1151,Intel H270,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400,ASRock H270 Pro4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[99.99, 149.99]",Yes,No
LGA1151,Intel H110,No,Micro ATX,MSI,32GB,DDR4-2133,MSI H110M PRO-D Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[58.99],No,No
2 x LGA2011,Intel C602,No,ATX,Asus,64GB,DDR3-1066 / 1333 / 1600,Asus Z9PA-D8 ATX Dual-CPU LGA2011 Motherboard,2 x 10/100/1000 Mbps,No,Yes,[333.99],Yes,No
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400,Asus MAXIMUS VIII RANGER ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[193.99, 194.99, 214.88, 199.99, 199.99]",Yes,Yes
LGA1151,Intel B150,No,Micro ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-B150M-D3H Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[109.99, 117.34]",No,No
LGA1150,Intel Z97,Yes,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2800 / 2933,ASRock Z97 EXTREME4 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[118.88, 114.99, 129.99, 138.99, 149.93]",Yes,Yes
LGA1151,Intel H170,Yes,ATX,ASRock,64GB,DDR4-2133,ASRock H170A-X1/3.1 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[79.99, 83.89]",Yes,No
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270X-Ultra Gaming ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[164.99, 234.99]",Yes,Yes
LGA1151,Intel H170,No,Mini ITX,ASRock,32GB,DDR4-2133,ASRock H170M-ITX/ac Mini ITX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.99, 98.99, 117.95, 134.99]",Yes,No
AM3+,AMD 970,No,ATX,Asus,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,Asus M5A97 PLUS ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[67.88, 67.99, 72.0, 72.0]",Yes,No
LGA1150,Intel B85,Yes,Micro ATX,Gigabyte,32GB,DDR3-1333 / 1600,Gigabyte GA-B85M-D3H Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[71.99, 85.99]",No,No
LGA2011-3,Intel X99,Yes,EATX,ASRock,128GB,DDR4-1600 / 1866 / 2133 / 2400 / 2800 / 2933 / 3200,ASRock X99 WS-E/10G EATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps<br/>2 x 100 Mbps/1 Gbps/10 Gbps,Yes,No,"[599.99, 599.99, 645.99]",Yes,4-way SLI
LGA1151,Intel H270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400,MSI H270 GAMING M3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[133.99, 134.0, 134.0, 134.99, 141.99]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200,Asus X99-A ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,[219.99],Yes,3-way SLI
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3466,ASRock Z170A-X1 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[89.99, 91.0, 89.99]",Yes,No
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200,ASRock Fatal1ty Z170 Gaming K4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[139.99, 139.99, 143.8, 139.99, 172.89, 176.5, 229.99]",Yes,No
FM2+,AMD A68H,No,Micro ATX,Asus,32GB,DDR3-1333 / 1600 / 1866 / 2133 / 2400,Asus A68HM-Plus Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[52.89, 52.99, 53.99, 53.99, 53.99]",Yes,No
AM1,AMD AM1,No,Micro ATX,Gigabyte,32GB,DDR3-1333 / 1600,Gigabyte GA-AM1M-S2H Micro ATX AM1 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[34.99, 34.99, 42.99]",No,No
LGA1151,Intel Z170,No,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600,MSI Z170A MPOWER GAMING TITANIUM ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[229.99, 239.99, 239.99, 239.99]",Yes,Yes
LGA2011-3,Intel X99,Yes,ATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 3000 / 3333,MSI X99A Raider ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[199.99, 199.99]",Yes,3-way SLI
LGA1151,Intel Z170,Yes,ATX,EVGA,64GB,DDR4-2133 / 3600,EVGA Z170 Classified K ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[210.99, 210.99]",Yes,Yes
AM3+,AMD 970,Yes,ATX,ASRock,32GB,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866,ASRock 970 EXTREME4 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[89.99, 118.88, 133.65]",Yes,Yes
LGA1150,Intel Z97,Yes,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2800 / 2933 / 3000,ASRock Fatal1ty Z97 Killer ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[126.88, 134.99, 145.78]",Yes,No
LGA1150,Intel H81,No,Micro ATX,Asus,16GB,DDR3-1066 / 1333 / 1600,Asus H81M-A Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[55.99, 59.22, 59.99, 56.99, 65.28, 59.99, 59.99]",No,No
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3866,ASRock Fatal1ty Z170 Professional Gaming i7 ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[189.99, 209.99, 207.99]",Yes,Yes
AM3+,AMD 970,Yes,ATX,ASRock,64GB,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866 / 2100,ASRock 970 Pro3 R2.0 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[69.99, 74.99]",Yes,No
FM2+,AMD A68H,No,Micro ATX,Gigabyte,32GB,DDR3-1333 / 1600 / 1866 / 2133 / 2400,Gigabyte GA-F2A68HM-HD2 Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[53.49, 53.99, 55.22, 63.98]",Yes,No
LGA1155,Intel H67,No,Micro ATX,Intel,32GB,DDR3-1066 / 1333,Intel DH67BLB3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[74.66],Yes,No
LGA1151,Intel H170,No,Mini ITX,Asus,32GB,DDR3-1333 / 1600 / 1866,Asus H170I-PLUS D3 Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[110.0],Yes,No
FM2+,AMD A88X,Yes,Micro ATX,Gigabyte,64GB,DDR3-1333 / 1600 / 1866 / 2133 / 2400,Gigabyte GA-F2A88XM-D3HP Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[69.38, 73.99, 78.38, 68.99, 80.0]",Yes,No
LGA1151,Intel B150,Yes,ATX,MSI,64GB,DDR4-2133,MSI B150A Gaming Pro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[119.99],No,No
LGA1151,Intel B250,Yes,Micro ATX,ASRock,64GB,DDR4-2133 / 2400,ASRock B250M Pro4 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[78.99],No,No
AM3+,AMD 970,Yes,ATX,ASRock,64GB,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866 / 2100,ASRock 970 Extreme3 R2.0 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[93.49, 94.99, 98.84, 94.99]",Yes,No
LGA1151,Intel H270,No,ATX,Asus,64GB,DDR4-2133 / 2400,Asus PRIME H270-PLUS-CSM ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[110.0, 110.0, 109.53, 110.98, 125.09]",Yes,No
FM2+,AMD A78,No,Micro ATX,MSI,32GB,DDR3-1333 / 1600 / 1866 / 2133,MSI A78M-E35 V2 Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[80.96, 199.88]",Yes,No
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3200,Gigabyte GA-Z170X-UD3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[119.99, 119.99, 139.68, 144.99, 149.99, 158.37]",Yes,Yes
LGA1151,Intel H110,No,Micro ATX,ASRock,32GB,DDR4-2133,ASRock H110M-HDV Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[56.99, 58.99, 65.82, 69.99]",No,No
LGA2011-3,Intel X99,Yes,ATX,Gigabyte,128GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3333 / 3400 / 3600,Gigabyte GA-X99-Ultra Gaming ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[248.99, 258.33, 259.99, 259.99, 254.23]",Yes,4-way SLI
LGA1151,Intel B150,Yes,ATX,ASRock,64GB,DDR4-2133,ASRock B150 Gaming K4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,[92.99],No,No
LGA1151,Intel Z170,Yes,EATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3800 / 3866,Asus MAXIMUS VIII EXTREME/ASSEMBLY EATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[499.99, 499.99, 499.99]",Yes,Yes
LGA1151,Intel H170,No,Mini ITX,MSI,32GB,DDR4-2133,MSI H170I Pro AC Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[118.99, 121.99, 137.08, 138.08]",Yes,No
AM1,AMD AM1,No,Mini ITX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock AM1H-ITX Mini ITX AM1 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[48.99, 53.99]",No,No
LGA1151,Intel Z170,No,Mini ITX,ASRock,32GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200,ASRock Z170M-ITX/ac Mini ITX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[123.99, 123.99, 123.99]",Yes,No
LGA1151,Intel B150,No,Micro ATX,MSI,32GB,DDR4-2133,MSI B150M GRENADE Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[75.08, 75.99, 75.99]",No,No
AM1,AMD AM1,No,Micro ATX,Asus,32GB,DDR3-1333 / 1600 / 1866,Asus AM1M-A Micro ATX AM1 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[37.88, 37.99, 37.99, 37.99, 37.99]",No,No
LGA1150,Intel B85,No,Mini ITX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock B85M-ITX Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[72.99],No,No
LGA1150,Intel H81,No,Micro ATX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock H81M-DGS R2.0 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[48.99],No,No
LGA1151,Intel B250,Yes,Micro ATX,Asus,64GB,DDR4-2133 / 2400,Asus PRIME B250M-PLUS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.99, 95.0, 95.0, 102.54, 95.0]",No,No
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000,Gigabyte GA-Z170X-Designare ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[202.98, 215.81, 241.89, 241.98, 241.99]",Yes,Yes
LGA1151,Intel Z170,No,Mini ITX,ASRock,32GB,DDR4-2133 / 2400 / 2800 / 2933 / 3300 / 3400 / 3600 / 4000,ASRock Fatal1ty Z170 Gaming-ITX/ac Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.99, 177.88, 174.99, 191.98]",Yes,No
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200,MSI Z170A GAMING PRO ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[172.38],Yes,Yes
LGA1150,Intel H97,No,Mini ITX,Asus,16GB,DDR3-1066 / 1333 / 1600,Asus H97I-PLUS Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[97.99],Yes,No
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270X-Gaming K5 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[179.99, 179.99, 299.98]",Yes,Yes
LGA1150,Intel Z97,Yes,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2800 / 2933,ASRock Z97 PRO4 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[102.99, 109.99]",Yes,No
LGA1150,Intel B85,No,Micro ATX,Gigabyte,32GB,DDR3-1333 / 1600,Gigabyte GA-B85M-DS3H Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[58.99, 85.96, 109.89]",No,No
LGA2011-3,Intel X99,Yes,EATX,EVGA,128GB,DDR4-3200,EVGA X99 FTW K EATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[252.99, 252.99]",Yes,4-way SLI
LGA1151,Intel H270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus PRIME H270-PRO ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[120.0, 120.0, 120.0, 128.36]",Yes,No
LGA2011-3,Intel X99,Yes,EATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3300,Asus RAMPAGE V EXTREME EATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[459.97, 484.99, 525.81]",Yes,4-way SLI
2 x LGA2011-3,Intel C612,No,EATX,Supermicro,1TB,DDR4-1600 / 1866 / 2133,Supermicro MBD-X10DRI-O EATX Dual-CPU LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,[395.99],Yes,No
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270X-UD3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.99, 149.99, 149.99, 165.75, 169.2]",Yes,Yes
LGA1151,Intel Z170,Yes,Micro ATX,Asus,64GB,DDR3-1333 / 1600 / 1866 / 2000 / 2133 / 2200 / 2400 / 2666 / 2800 / 2933 / 3100,Asus Z170M-E D3 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[119.99, 160.88, 122.99, 125.98, 122.99]",Yes,No
AM3+/AM3,AMD 970,Yes,ATX,Gigabyte,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-970-Gaming SLI ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[97.99, 104.66, 105.48]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200,Gigabyte GA-Z170-HD3P ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[115.88, 116.14, 119.99, 128.45, 128.46, 128.98]",Yes,No
LGA2011-3,Intel X99,Yes,EATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3333 / 3400 / 3466,MSI X99A XPOWER GAMING TITANIUM EATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[389.99, 419.99, 419.99, 455.55]",Yes,4-way SLI
FM2+,AMD A88X,Yes,Micro ATX,Gigabyte,64GB,DDR3-1333 / 1600 / 1866 / 2133,Gigabyte GA-F2A88XM-D3H Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[99.88],Yes,No
LGA1150,Intel B85,No,Micro ATX,Asus,32GB,DDR3-1066 / 1333 / 1600,Asus B85M-G Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[88.89, 84.13]",No,No
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR3-1333 / 1600 / 1866 / 2133,ASRock Z170 Gaming K4/D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[130.99, 129.99, 131.99]",Yes,No
LGA1151,Intel H110,No,Micro ATX,Asus,32GB,DDR4-1866 / 2133,Asus H110M-C/CSM Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[58.99, 60.0, 59.99, 69.73]",No,No
LGA1151,Intel B150,Yes,ATX,Asus,64GB,DDR4-2133,Asus B150-PLUS ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[92.99, 94.31, 95.99, 108.33]",No,No
LGA1151,Intel H170,Yes,Micro ATX,Asus,64GB,DDR4-2133,Asus H170M-PLUS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[99.75, 129.89]",Yes,No
LGA1150,Intel C222,No,Micro ATX,Supermicro,32GB,DDR3-1600,Supermicro X10SLL-F Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,"[149.99, 164.99, 164.26, 175.69, 161.99]",Yes,No
LGA1151,Intel C232,No,Micro ATX,Gigabyte,32GB,DDR4-2133,Gigabyte GA-X150M-PLUS WS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[74.99, 74.99]",Yes,No
LGA1150,Intel Z97,Yes,ATX,Gigabyte,32GB,DDR3-1333 / 1600 / 1800 / 1866 / 2000 / 2133 / 2200 / 2400 / 2500 / 2600 / 2666 / 2800 / 2933 / 3000 / 3100 / 3200,Gigabyte GA-Z97X-GAMING 7 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.88, 189.8, 179.99]",Yes,Yes
LGA1151,Intel H170,Yes,ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-H170-D3HP ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[101.75, 101.98, 106.0, 105.99]",Yes,No
FM2+,AMD A68H,No,Micro ATX,MSI,32GB,DDR3-1333 / 1600 / 1866 / 2133,MSI A68HM-GRENADE Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[51.99, 64.98, 68.99, 64.99, 199.89]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,Gigabyte,128GB,DDR4-1600 / 1866 / 2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3333,Gigabyte GA-X99P-SLI ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[209.99, 236.88, 236.98, 239.99, 247.49, 248.7, 242.13]",Yes,4-way SLI
