CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1151,Intel H110,No,Mini ITX,Asus,32GB,DDR3-1333 / 1600,Asus H110I-PLUS D3/CSM Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[74.0],No,No
LGA1151,Intel B150,Yes,ATX,Gigabyte,64GB,DDR4-2133,Gigabyte G1.Sniper B7 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[82.99, 89.99, 110.56]",No,No
LGA2011-3,Intel X99,Yes,EATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3333 / 3400,MSI X99A GODLIKE GAMING CARBON EATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[548.99, 559.99, 579.99]",Yes,4-way SLI
LGA1150,Intel Z97,Yes,ATX,Asus,32GB,DDR3-1333 / 1600 / 1800 / 1866 / 2000 / 2133 / 2200 / 2400 / 2500 / 2600 / 2666 / 2800 / 2933 / 3000 / 3100 / 3200,Asus Z97-A ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[165.25, 199.89]",Yes,Yes
LGA1151,Intel Z170,Yes,Micro ATX,MSI,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3400,MSI Z170M Mortar Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[106.99, 117.57, 117.57, 119.99, 117.57]",No,No
FM2+,AMD A68M,No,Micro ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400,ASRock FM2A68M-HD+ Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[49.99, 56.99]",Yes,No
LGA1151,Intel H270,Yes,Micro ATX,ASRock,64GB,DDR4-2133 / 2400,ASRock H270M Pro4 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[89.99, 139.99]",Yes,No
LGA1151,Intel B250,No,Micro ATX,MSI,64GB,DDR4-2133 / 2400,MSI B250M MORTAR Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[89.99, 89.99, 89.99, 97.99, 100.29]",No,No
LGA1150,Intel Z97,Yes,ATX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000 / 2133 / 2200 / 2400 / 2600 / 2666 / 2800 / 3000,MSI Z97 PC MATE ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[97.99, 114.02, 159.88]",Yes,No
LGA1151,Intel H170,Yes,ATX,ASRock,64GB,DDR4-2133,ASRock H170A-X1 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[73.99, 78.99]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 3000 / 3333,MSI X99A SLI PLUS ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[199.99, 223.88, 203.98, 199.99, 219.99, 239.99]",Yes,3-way SLI
