CAS Latency,ECC,Heat Spreader,Manufacturer,Name,Price/GB,Prices,Size,Speed,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed
9,No,Yes,Corsair,Corsair Vengeance LP 8GB (1 x 8GB) DDR3-1600 Memory,$6.37,"[50.97, 52.0, 58.91, 69.99]",8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,No,G.Skill,G.Skill Ripjaws Series 16GB (2 x 8GB) DDR3-1600 Memory,$5.93,"[94.88, 94.99, 94.99, 98.97]",16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,AMD,AMD R5 Entertainment 8GB (2 x 4GB) DDR3-1600 Memory,$7.08,[47.99],8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,No,No,G.Skill,G.Skill Ripjaws Z Series 16GB (4 x 4GB) DDR3-2133 Memory,$6.75,"[107.99, 108.97, 113.9]",16GB (4 x 4GB),DDR3-2133,False,2133.0,,2133
11,No,No,Crucial,Crucial 8GB (2 x 4GB) DDR3-1600 Memory,$6.12,"[48.98, 51.99, 51.17]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
8,No,Yes,Crucial,Crucial Ballistix Tactical Tracer 16GB (2 x 8GB) DDR3-1600 Memory,$7.00,[111.98],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,No,Corsair,Corsair 4GB (2 x 2GB) DDR3-1333 Memory,$7.75,"[29.99, 34.89, 28.99, 37.98, 39.99]",4GB (2 x 2GB),DDR3-1333,False,1333.0,,1333
11,No,No,Mushkin,Mushkin Essentials 8GB (4 x 2GB) DDR3-1600 Memory,$7.24,"[57.89, 76.99]",8GB (4 x 2GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,G.Skill,G.Skill Ripjaws Z Series 64GB (8 x 8GB) DDR3-2133 Memory,$6.72,[429.99],64GB (8 x 8GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Crucial,Crucial Ballistix Sport 8GB (2 x 4GB) DDR3-1600 Memory,$8.37,"[66.99, 74.99]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,G.Skill,G.Skill Ripjaws Z Series 16GB (2 x 8GB) DDR3-1866 Memory,$6.87,"[109.99, 114.97, 129.48]",16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
9,No,Yes,G.Skill,G.Skill Ripjaws Z Series 32GB (4 x 8GB) DDR3-1866 Memory,$6.87,"[219.99, 221.28, 224.97]",32GB (4 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,Kingston,Kingston 8GB (1 x 8GB) DDR3-2133 Memory,$7.56,"[60.48, 69.99, 79.24]",8GB (1 x 8GB),DDR3-2133,False,2133.0,,2133
11,No,No,Patriot,Patriot Signature 8GB (1 x 8GB) DDR3-1600 Memory,$5.75,"[46.03, 39.88, 48.98]",8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
11,Yes,No,Kingston,Kingston 12GB (3 x 4GB) Registered DDR3-1600 Memory,$10.79,[114.99],12GB (3 x 4GB),DDR3-1600,False,1600.0,,1600
