Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
N/A,30GB,,Mushkin,Mushkin Atlas Series 30GB mSATA Solid State Drive,,$4.51,[135.45],,Yes,Q4 2013
8MB,320GB,,Western Digital,"Western Digital Scorpio Blue 320GB 2.5"" 5400RPM Internal Hard Drive",,$1.14,[365.75],5400,No,Q2 2014
N/A,250GB,,Mushkin,Mushkin Atlas Vital 250GB M.2-2280 Solid State Drive,,$0.37,"[92.88, 93.19]",,Yes,Q1 2008
N/A,120GB,,Samsung,"Samsung 850 EVO-Series 120GB 2.5"" Solid State Drive",,$1.29,[154.89],,Yes,Q4 2009
N/A,480GB,,OCZ,"OCZ Vector 150 Series 480GB 2.5"" Solid State Drive",,$0.74,[348.59],,Yes,Q4 2010
N/A,512GB,,Plextor,Plextor M6M 512GB mSATA Solid State Drive,,$0.63,[313.0],,Yes,Q2 2015
64MB,320GB,,Western Digital,"Western Digital Caviar Green 320GB 3.5"" 5400RPM Internal Hard Drive",,$0.26,[84.06],5400,No,Q1 2007
N/A,480GB,,Mushkin,Mushkin Atlas Series 480GB mSATA Solid State Drive,,$0.70,[335.45],,Yes,Q2 2012
16MB,320GB,,Western Digital,"Western Digital RE2 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.46,[140.0],7200,No,Q1 2011
N/A,1.2TB,,Intel,Intel 750 Series 1.2TB PCI-E Solid State Drive,,$0.76,[899.99],,Yes,Q1 2001
N/A,240GB,,Intel,"Intel SSD DC S3500 Series 240GB 1.8"" Solid State Drive",Yes,$1.02,[245.15],,Yes,Q1 2000
16MB,320GB,,Western Digital,"Western Digital Caviar Blue 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.28,[90.38],7200,No,Q3 2013
64MB,3TB,,Toshiba,"Toshiba 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.028,"[84.88, 84.99, 84.99, 84.99, 90.63, 93.99, 96.99]",7200,No,Q2 2013
N/A,256GB,,Sandisk,"Sandisk Z400s 256GB 2.5"" Solid State Drive",,$0.34,"[86.99, 79.15]",,Yes,Q2 2004
N/A,80GB,,Intel,"Intel X18-M 80GB 1.8"" Solid State Drive",,$2.41,[187.99],,Yes,Q3 2010
N/A,160GB,,Intel,"Intel X18-M 160GB 1.8"" Solid State Drive",,$0.83,"[132.06, 466.65]",,Yes,Q2 2012
N/A,1TB,,OCZ,OCZ RD400 1TB M.2-2280 Solid State Drive,,$0.77,"[769.99, 809.44]",,Yes,Q4 2005
N/A,120GB,,Intel,"Intel 320 Series 120GB 2.5"" Solid State Drive",,$1.13,[129.0],,Yes,Q4 2008
