Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
64MB,1TB,,Western Digital,"Western Digital Blue 1TB 3.5"" 5400RPM Internal Hard Drive",,$0.050,"[50.33, 50.49, 50.49, 50.99, 53.09, 49.66]",5400,No,Q3 2007
8MB,80GB,,Seagate,"Seagate 80GB 3.5"" 7200RPM Internal Hard Drive",,$2.52,[202.0],7200,No,Q1 2013
N/A,240GB,,Sandisk,"Sandisk Ultra II 240GB 2.5"" Solid State Drive",,$0.33,"[79.98, 79.99, 79.99, 87.99, 79.98, 90.99, 98.98]",,Yes,Q4 2007
N/A,64GB,,Verbatim,"Verbatim Verbatim SATA II 64GB 2.5"" Solid State Drive",,$1.64,[104.65],,Yes,Q1 2006
32MB,300GB,,Western Digital,"Western Digital Xe 300GB 3.5"" 10000RPM Internal Hard Drive",,$0.59,[169.99],10000,No,Q1 2015
256MB,256GB,,Corsair,"Corsair Performance Pro Series 256GB 2.5"" Solid State Drive",,$1.46,[374.99],,Yes,Q1 2005
128MB,6TB,,Western Digital,"Western Digital Black  6TB 3.5"" 7200RPM Internal Hard Drive",,$0.047,"[279.0, 279.0, 269.99, 279.99, 284.39, 317.99, 340.99]",7200,No,Q1 2000
64MB,1TB,,Seagate,"Seagate Constellation.2 1TB 2.5"" 7200RPM Internal Hard Drive",,$0.17,[159.89],7200,No,Q2 2012
32MB,1TB,,Hitachi,"Hitachi Travelstar 1TB 2.5"" 7200RPM Internal Hard Drive",,$0.056,"[56.49, 61.88, 69.23, 69.75, 61.99]",7200,No,Q4 2004
N/A,256GB,,V7,"V7 Elite 256GB 2.5"" Solid State Drive",,$0.83,[211.82],,Yes,Q1 2004
16MB,2TB,,Toshiba,"Toshiba 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.096,[184.0],7200,No,Q4 2012
64MB,2TB,7.8GB,Seagate,"Seagate 2TB 3.5"" 7200RPM Hybrid Internal Hard Drive",,$0.050,"[99.99, 99.99, 104.89, 109.99, 103.76]",7200,No,Q2 2014
N/A,128GB,,Micron,Micron M600 128GB mSATA Solid State Drive,,$0.84,[107.99],,Yes,Q1 2012
32MB,1TB,,Seagate,"Seagate Barracuda ES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.045,[39.34],7200,No,Q2 2009
N/A,60GB,,Intel,"Intel 520 Series Cherryville 60GB 2.5"" Solid State Drive",,$1.47,[79.99],,Yes,Q2 2011
512MB,500GB,,Samsung,"Samsung 750 Evo 500GB 2.5"" Solid State Drive",,$0.28,"[139.99, 147.98, 149.99, 158.95, 159.99, 158.95]",,Yes,Q1 2009
N/A,240GB,,Intel,"Intel 520 Series Cherryville 240GB 2.5"" Solid State Drive",,$1.29,[299.99],,Yes,Q3 2000
N/A,512GB,,Eluktro,"Eluktro Pro Performance 512GB 2.5"" Solid State Drive",,$0.34,[159.95],,Yes,Q1 2011
N/A,200GB,,Intel,"Intel 710 Series ( Lyndonville) 200GB 2.5"" Solid State Drive",,$0.93,"[178.36, 309.99, 309.99]",,Yes,Q2 2008
N/A,120GB,,Patriot,"Patriot Mac Series XT 120GB 2.5"" Solid State Drive",,$2.08,[249.99],,Yes,Q2 2004
N/A,30GB,,Corsair,"Corsair Nova Series 2 30GB 2.5"" Solid State Drive",,$1.40,"[34.99, 64.99]",,Yes,Q3 2011
N/A,1TB,,Samsung,"Samsung 850 EVO-Series 1TB 2.5"" Solid State Drive",,$0.32,"[319.99, 319.99, 319.99, 347.89, 349.99, 349.99, 349.99, 349.99]",,Yes,Q2 2014
N/A,120GB,,Kingston,"Kingston SSDNow UV400 120GB 2.5"" Solid State Drive",,$0.41,"[48.99, 49.88, 49.98, 49.99, 49.99, 46.99, 54.97, 46.99, 57.99, 58.99]",,Yes,Q3 2015
N/A,256GB,,Patriot,"Patriot Torqx 2 256GB 2.5"" Solid State Drive",,$1.12,[285.45],,Yes,Q3 2012
N/A,300GB,,Intel,"Intel 320 Series 300GB 2.5"" Solid State Drive",,$0.80,[231.77],,Yes,Q3 2006
N/A,480GB,,Corsair,"Corsair Neutron Series GTX 480GB 2.5"" Solid State Drive",,$1.06,[509.99],,Yes,Q3 2013
N/A,512GB,,Sandisk,Sandisk X400 512GB M.2-2280 Solid State Drive,,$0.29,"[147.99, 147.99, 159.99, 169.0]",,Yes,Q3 2000
64MB,500GB,,Western Digital,"Western Digital WD VelociRaptor 500GB 2.5"" 10000RPM Internal Hard Drive",,$0.35,[176.99],10000,No,Q2 2004
N/A,1.1TB,,Crucial,"Crucial MX300 1.1TB 2.5"" Solid State Drive",,$0.24,"[255.99, 259.99, 263.98, 259.99, 269.99, 269.99, 274.97]",,Yes,Q1 2000
16MB,250GB,,Hitachi,"Hitachi Travelstar Z7K320 250GB 2.5"" 7200RPM Internal Hard Drive",,$0.96,[231.0],7200,No,Q4 2012
